Latin name,Family,Origem (Fonte? Flora do Brasil 2020?,Brasil,order,family,pollinator spp
Pouteria caimito (Ruiz & Pav.) Radlk.,Sapotaceae ,Trinidad to Central & S. Tropical America.,Nativa,Hymenoptera,Apidae,Eulaema mocsaryi
Pouteria caimito (Ruiz & Pav.) Radlk.,Sapotaceae ,Trinidad to Central & S. Tropical America.,Nativa,Hymenoptera,Apidae,Melipona seminigra
Pouteria caimito (Ruiz & Pav.) Radlk.,Sapotaceae ,Trinidad to Central & S. Tropical America.,Nativa,Hymenoptera,Apidae,Oxytrigona obscura
Pouteria caimito (Ruiz & Pav.) Radlk.,Sapotaceae ,Trinidad to Central & S. Tropical America.,Nativa,Hymenoptera,Apidae,Ptilotrigona lurida
Pouteria caimito (Ruiz & Pav.) Radlk.,Sapotaceae ,Trinidad to Central & S. Tropical America.,Nativa,Hymenoptera,Apidae,Trigona dallatorreana
Pouteria caimito (Ruiz & Pav.) Radlk.,Sapotaceae ,Trinidad to Central & S. Tropical America.,Nativa,Hymenoptera,Apidae,Trigona spinipes
Pouteria caimito (Ruiz & Pav.) Radlk.,Sapotaceae ,Trinidad to Central & S. Tropical America.,Nativa,Hymenoptera,Apidae,Xylocopa frontalis
Euterpe oleracea Mart.,Arecaceae,"Brazil, Colombia, Ecuador, French Guiana, Guyana, Suriname, Trinidad-Tobago, Venezuela",Nativa,Hymenoptera,Apidae,Melipona flavolineata
Euterpe oleracea Mart.,Arecaceae,"Brazil, Colombia, Ecuador, French Guiana, Guyana, Suriname, Trinidad-Tobago, Venezuela",Nativa,Hymenoptera,Apidae,Trigona branneri
Euterpe oleracea Mart.,Arecaceae,"Brazil, Colombia, Ecuador, French Guiana, Guyana, Suriname, Trinidad-Tobago, Venezuela",Nativa,Hymenoptera,Apidae,Trigona guianae
Euterpe oleracea Mart.,Arecaceae,"Brazil, Colombia, Ecuador, French Guiana, Guyana, Suriname, Trinidad-Tobago, Venezuela",Nativa,Hymenoptera,Apidae,Trigona pallens
Euterpe oleracea Mart.,Arecaceae,"Brazil, Colombia, Ecuador, French Guiana, Guyana, Suriname, Trinidad-Tobago, Venezuela",Nativa,Hymenoptera,Apidae,Trigona recursa
Euterpe oleracea Mart.,Arecaceae,"Brazil, Colombia, Ecuador, French Guiana, Guyana, Suriname, Trinidad-Tobago, Venezuela",Nativa,Hymenoptera,Apidae,Trigonisca dobzhanskyi
Euterpe oleracea Mart.,Arecaceae,"Brazil, Colombia, Ecuador, French Guiana, Guyana, Suriname, Trinidad-Tobago, Venezuela",Nativa,Hymenoptera,Apidae,Trigonisca hiriticornis
Euterpe oleracea Mart.,Arecaceae,"Brazil, Colombia, Ecuador, French Guiana, Guyana, Suriname, Trinidad-Tobago, Venezuela",Nativa,Hymenoptera,Apidae,Trigonisca nataliae
Euterpe oleracea Mart.,Arecaceae,"Brazil, Colombia, Ecuador, French Guiana, Guyana, Suriname, Trinidad-Tobago, Venezuela",Nativa,Hymenoptera,Apidae,Trigonisca unidentata
Euterpe oleracea Mart.,Arecaceae,"Brazil, Colombia, Ecuador, French Guiana, Guyana, Suriname, Trinidad-Tobago, Venezuela",Nativa,Hymenoptera,Apidae,Trigonisca vitrifrons
Euterpe precatoria Mart.,Arecaceae,Trinidad to Central & S. Tropical America,Nativa,Coleoptera,Curculionidae,Phyllotrox sp.
Persea americana Mill,Lauraceae,Mexico and Central America,Exotica,Hymenoptera,Apidae,Apis mellifera
Persea americana Mill,Lauraceae,Mexico and Central America,Exotica,Hymenoptera,Apidae,Tetragonisca angustula
Persea americana Mill,Lauraceae,Mexico and Central America,Exotica,Hymenoptera,Apidae,Trigona spinipes
Persea americana Mill,Lauraceae,Mexico and Central America,Exotica,Hymenoptera,Apidae,Xylocopa sp.
Persea americana Mill,Lauraceae,Mexico and Central America,Exotica,Hymenoptera,Halictidae,Chloralictus sp.
Ananas ananassoides (Baker) L.B.Sm.,Bromeliaceae,Costa Rica to S. Tropical America.,Nativa,Apodiformes,Trochilidae,Hylocharis chrysura
Ananas ananassoides (Baker) L.B.Sm.,Bromeliaceae,Costa Rica to S. Tropical America.,Nativa,Apodiformes,Trochilidae,Thalurania glaucopis
Ananas ananassoides (Baker) L.B.Sm.,Bromeliaceae,Costa Rica to S. Tropical America.,Nativa,Hymenoptera,Apidae,Bombus morio
Ananas ananassoides (Baker) L.B.Sm.,Bromeliaceae,Costa Rica to S. Tropical America.,Nativa,Lepidoptera,Nymphalidae,Hamadryas februa
Ananas ananassoides (Baker) L.B.Sm.,Bromeliaceae,Costa Rica to S. Tropical America.,Nativa,Lepidoptera,Pieridae,Phoebis sennae
Cucurbita maxima Duchesne,Cucurbitaceae,Bolivia to N. Argentina,Exotica,Coleoptera,Chrysomelidae,Diabrotica speciosa
Cucurbita maxima Duchesne,Cucurbitaceae,Bolivia to N. Argentina,Exotica,Hymenoptera,Andrenidae,Oxaea flavescens
Cucurbita maxima Duchesne,Cucurbitaceae,Bolivia to N. Argentina,Exotica,Hymenoptera,Apidae,Apis mellifera
Cucurbita maxima Duchesne,Cucurbitaceae,Bolivia to N. Argentina,Exotica,Hymenoptera,Apidae,Bombus morio
Cucurbita maxima Duchesne,Cucurbitaceae,Bolivia to N. Argentina,Exotica,Hymenoptera,Apidae,Melipona quadrifasciata
Cucurbita maxima Duchesne,Cucurbitaceae,Bolivia to N. Argentina,Exotica,Hymenoptera,Apidae,Melipona rufiventris
Cucurbita maxima Duchesne,Cucurbitaceae,Bolivia to N. Argentina,Exotica,Hymenoptera,Apidae,Trigona spinipes
Cucurbita maxima Duchesne,Cucurbitaceae,Bolivia to N. Argentina,Exotica,Hymenoptera,Apidae,Xylocopa frontalis
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Apis mellifera
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris aenea
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris analis
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris bicolor
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris caxiensis
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris decolorata
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris denudans
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris flavifrons
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris fuscata
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris inermis
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris longimana
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris maranhensis
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris mocsaryi
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris nitens
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris obsoleta
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris poecila
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris rhodoprocta
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris scopipes
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris spilopoda
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris sponsa
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris tarsata
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris trigonoides
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris varia
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Centris vittata
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Epicharis affinis
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Epicharis albofasciata
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Epicharis analis
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Epicharis bicolor
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Epicharis cockerelli
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Epicharis flava
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Epicharis xanthogastra
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Nannotrigona testaceicornis
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Partamona cupira
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Trigona spinipes
Malpighia emarginata DC.,Malpighiaceae,"Belize, Colombia, El Salvador, Guatemala, Honduras, Mexico ",Exotica,Hymenoptera,Apidae,Xylocopa frontalis
Annona tomentosa R.E.Fr.,Annonaceae,"Bolivia, Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central",Nativa,Coleoptera,Scarabaeidae,Cyclocephala atricapilla
Annona tomentosa R.E.Fr.,Annonaceae,"Bolivia, Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central",Nativa,Coleoptera,Scarabaeidae,Cyclocephala quatuordecumpunctata
Schinus terebinthifolia Raddi,Anacardiaceae,"Argentina Northeast, Brazil, Paraguay",Nativa,Hymenoptera,Apidae,Apis mellifera
Schinus terebinthifolia Raddi,Anacardiaceae,"Argentina Northeast, Brazil, Paraguay",Nativa,Hymenoptera,Apidae,Mesoplia bifrons
Schinus terebinthifolia Raddi,Anacardiaceae,"Argentina Northeast, Brazil, Paraguay",Nativa,Hymenoptera,Apidae,Xylocopa ordinaria
Schinus terebinthifolia Raddi,Anacardiaceae,"Argentina Northeast, Brazil, Paraguay",Nativa,Hymenoptera,Halictidae,Augochloropsis notophos
Schinus terebinthifolia Raddi,Anacardiaceae,"Argentina Northeast, Brazil, Paraguay",Nativa,Hymenoptera,Halictidae,Dialictus sp.
Schinus terebinthifolia Raddi,Anacardiaceae,"Argentina Northeast, Brazil, Paraguay",Nativa,Hymenoptera,Vespidae,Polistes lanio
Schinus terebinthifolia Raddi,Anacardiaceae,"Argentina Northeast, Brazil, Paraguay",Nativa,Hymenoptera,Vespidae,Polistes versicolor
Schinus terebinthifolia Raddi,Anacardiaceae,"Argentina Northeast, Brazil, Paraguay",Nativa,Hymenoptera,Vespidae,Polybia fastidiosuscula
Attalea speciosa Mart.,Arecaceae,"Bolivia, Brazil, Guyana, Suriname",Nativa,Coleoptera,Nitidulidae,Mystrops mexicana
Oenocarpus mapora H.Karst.,Arecaceae,"Bolivia, Brazil North, Colombia, Costa Rica, Ecuador, Panamá, Peru, Venezuela",Nativa,Coleoptera,Curculionidae,Anchylorhychus bicarinatus
Oenocarpus mapora H.Karst.,Arecaceae,"Bolivia, Brazil North, Colombia, Costa Rica, Ecuador, Panamá, Peru, Venezuela",Nativa,Coleoptera,Curculionidae,Terires minusculus
Oenocarpus mapora H.Karst.,Arecaceae,"Bolivia, Brazil North, Colombia, Costa Rica, Ecuador, Panamá, Peru, Venezuela",Nativa,Coleoptera,Scarabaeidae,Cyclocephala distincta
Oenocarpus mapora H.Karst.,Arecaceae,"Bolivia, Brazil North, Colombia, Costa Rica, Ecuador, Panamá, Peru, Venezuela",Nativa,Hemiptera,Thaumastocoridae,Discocoris drakei
Oenocarpus mapora H.Karst.,Arecaceae,"Bolivia, Brazil North, Colombia, Costa Rica, Ecuador, Panamá, Peru, Venezuela",Nativa,Hymenoptera,,Apis mellifera
Oenocarpus mapora H.Karst.,Arecaceae,"Bolivia, Brazil North, Colombia, Costa Rica, Ecuador, Panamá, Peru, Venezuela",Nativa,Hymenoptera,,Trigona sp.
Platonia insignis Mart.,Clusiaceae ,"Brazil, French Guiana, Guyana, Suriname, Venezuela",Nativa,Passeriformes,Icteridae,Cacicus cela
Platonia insignis Mart.,Clusiaceae ,"Brazil, French Guiana, Guyana, Suriname, Venezuela",Nativa,Passeriformes,Thraupidae,Cyanerpes caeruleus
Platonia insignis Mart.,Clusiaceae ,"Brazil, French Guiana, Guyana, Suriname, Venezuela",Nativa,Passeriformes,Thraupidae,Ramphocelus carbo
Platonia insignis Mart.,Clusiaceae ,"Brazil, French Guiana, Guyana, Suriname, Venezuela",Nativa,Passeriformes,Thraupidae,Thraupis episcopus
Platonia insignis Mart.,Clusiaceae ,"Brazil, French Guiana, Guyana, Suriname, Venezuela",Nativa,Passeriformes,Thraupidae,Thraupis palmarum
Platonia insignis Mart.,Clusiaceae ,"Brazil, French Guiana, Guyana, Suriname, Venezuela",Nativa,Psittaciformes,Psittacidae,Aratinga leucophthalmus
Platonia insignis Mart.,Clusiaceae ,"Brazil, French Guiana, Guyana, Suriname, Venezuela",Nativa,Psittaciformes,Psittacidae,Brotogeris chrysoptera
Platonia insignis Mart.,Clusiaceae ,"Brazil, French Guiana, Guyana, Suriname, Venezuela",Nativa,Psittaciformes,Psittacidae,Pionites leucogaster
Butia paraguayensis (Barb.Rodr.) L.H.Bailey,Arecaceae,"Brazil, Paraguay",Nativa,Hymenoptera,Apidae,Apis mellifera
Butia paraguayensis (Barb.Rodr.) L.H.Bailey,Arecaceae,"Brazil, Paraguay",Nativa,Hymenoptera,Apidae,Paratrigona lineata
Butia paraguayensis (Barb.Rodr.) L.H.Bailey,Arecaceae,"Brazil, Paraguay",Nativa,Hymenoptera,Apidae,Trigona hyalinata
Butia paraguayensis (Barb.Rodr.) L.H.Bailey,Arecaceae,"Brazil, Paraguay",Nativa,Hymenoptera,Apidae,Trigona spinipes
Butia paraguayensis (Barb.Rodr.) L.H.Bailey,Arecaceae,"Brazil, Paraguay",Nativa,Hymenoptera,Halictidae,Augochlora sp.
Butia paraguayensis (Barb.Rodr.) L.H.Bailey,Arecaceae,"Brazil, Paraguay",Nativa,Hymenoptera,Halictidae,Augochlorella michaelis
Butia paraguayensis (Barb.Rodr.) L.H.Bailey,Arecaceae,"Brazil, Paraguay",Nativa,Hymenoptera,Halictidae,Augochloropsis aurifluens
Butia paraguayensis (Barb.Rodr.) L.H.Bailey,Arecaceae,"Brazil, Paraguay",Nativa,Hymenoptera,Halictidae,Augochloropsis cleopatra
Butia paraguayensis (Barb.Rodr.) L.H.Bailey,Arecaceae,"Brazil, Paraguay",Nativa,Hymenoptera,Halictidae,Ceratalictus theius
Butia paraguayensis (Barb.Rodr.) L.H.Bailey,Arecaceae,"Brazil, Paraguay",Nativa,Hymenoptera,Halictidae,Chloralictus sp.
Theobroma cacao L.,Malvaceae,"Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Peru, Suriname, Venezuela",Nativa,Diptera,Ceratopogonidae,Forcipomyia soriai
Theobroma cacao L.,Malvaceae,"Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Peru, Suriname, Venezuela",Nativa,Diptera,Ceratopogonidae,Forcipomyia spatulifera
Theobroma cacao L.,Malvaceae,"Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Peru, Suriname, Venezuela",Nativa,Diptera,Ceratopogonidae,Forcipomyia winderi
Elaeis oleifera  (Kunth) Cortés,Arecaceae,"Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Honduras, Nicaragua, Panamá, Peru, Suriname",Nativa,Coleoptera,Curculionidae,Elaeidobius sp.
Elaeis oleifera  (Kunth) Cortés,Arecaceae,"Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Honduras, Nicaragua, Panamá, Peru, Suriname",Nativa,Hymenoptera,Apidae,Apis mellifera
Elaeis oleifera  (Kunth) Cortés,Arecaceae,"Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Honduras, Nicaragua, Panamá, Peru, Suriname",Nativa,Hymenoptera,Apidae,Partamona sp.
Elaeis oleifera  (Kunth) Cortés,Arecaceae,"Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Honduras, Nicaragua, Panamá, Peru, Suriname",Nativa,Hymenoptera,Apidae,Trigona sp.
Myrciaria dubia (Kunth) McVaugh,Myrtaceae,S. Tropical America.,Nativa,Hymenoptera,Apidae,Apis mellifera
Myrciaria dubia (Kunth) McVaugh,Myrtaceae,S. Tropical America.,Nativa,Hymenoptera,Apidae,Melipona compressipes
Myrciaria dubia (Kunth) McVaugh,Myrtaceae,S. Tropical America.,Nativa,Hymenoptera,Apidae,Nannotrigona punctata
Myrciaria dubia (Kunth) McVaugh,Myrtaceae,S. Tropical America.,Nativa,Hymenoptera,Apidae,Partamona cupira
Myrciaria dubia (Kunth) McVaugh,Myrtaceae,S. Tropical America.,Nativa,Hymenoptera,Apidae,Trigona branneri
Myrciaria dubia (Kunth) McVaugh,Myrtaceae,S. Tropical America.,Nativa,Hymenoptera,Apidae,Trigona pallens
Myrciaria dubia (Kunth) McVaugh,Myrtaceae,S. Tropical America.,Nativa,Hymenoptera,Apidae,Trigona recursa
Myrciaria dubia (Kunth) McVaugh,Myrtaceae,S. Tropical America.,Nativa,Hymenoptera,Halictidae,Augochlora sp.
Annona cornifolia  A.St.-Hil.,Annonaceae,Brazil to Bolivia,Nativa,Coleoptera,Scarabaeidae,Cyclocephala atricapilla
Annona cornifolia  A.St.-Hil.,Annonaceae,Brazil to Bolivia,Nativa,Coleoptera,Scarabaeidae,Cyclocephala quatuordecumpunctata
Cocos nucifera L.,Arecaceae,Central Malesia to SW. Pacific,Exotica,Hymenoptera,Apidae,Apis mellifera
Cocos nucifera L.,Arecaceae,Central Malesia to SW. Pacific,Exotica,Hymenoptera,Apidae,Plebeia poecilochroa
